,0
0,It gave us a level of confidence; a pathway of how to do it.
1,Bachchans performance in the film saw him nominated for both the Filmfare Best Actor Award and the Filmfare Award for Best Male Playback Singer.
2,"His father was a poet, who was fluent in Awadhi and Urdu.Bachchan was initially named Inquilaab, inspired by the phrase Inquilab Zindabad (which translates into English as ""Long live the revolution"") popularly used during the Indian independence struggle."
3,"Keith Richards and Mick Jagger became childhood friends and classmates in 1950 in Dartford, Kent."
4,"The English name beetle comes from the Old English word bitela, little biter, related to bxc4xabtan (to bite), leading to Middle English betylle."
5,Most are in Europe and Asia and belong to the temperate climate zone during the Cretaceous.
6,"Other hits followed, with Bachchan appearing as an older family patriarch in Ek Rishtaa: The Bond of Love (2001), Kabhi Khushi Kabhie Gham... (2001) and Baghban (2003)."
7,"Carbon dioxide is more soluble in water than either oxygen or nitrogen, so it readily diffuses out faster than in."
8,"At one point, to ward off a possible suitor, he casually mentions that his daughter isnt a virgin; that shes financially independent and sexually independent too."
9,"His previous clients, the Beatles, directed the former publicist to the band."
