,0
0,"The film was released in 1983, and partly due to the huge publicity of Bachchans accident, the film was a box office success and the top-grossing film of that year.The director, Manmohan Desai, altered the ending of Coolie after Bachchans accident."
1,"Further fossils have been found in Obora, Czech Republic and Tshekarda in the Ural mountains, Russia."
2,"He also showed an interest in tennis, idolising John McEnroe."
3,"During the second match, he also became the first to score 15,000 runs in ODIs."
4,"He also had a role with the ball in the five-match ODI series in India following the Tests, including a five wicket haul in an ODI in Kochi."
5,"During the tour they recorded for two days at Chess Studios in Chicago, meeting many of their most important influences, including Muddy Waters."
6,Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.
7,"Fossils from this time have been found in Asia and Europe, for instance in the red slate fossil beds of Niedermoschel near Mainz, Germany."
8,"Beetles are endopterygotes, which means that they undergo complete metamorphosis, with a series of conspicuous and relatively abrupt changes in body structure between hatching and becoming adult after a relatively immobile pupal stage."
9,"The US version of the LP Out of Our Heads, released in July 1965, also went to No 1; it included seven original songs, three Jagger/Richards numbers and four credited to Nanker Phelge."
