,0
0,"B. S. Haldane to quip, when some theologians asked him what could be inferred about the mind of the Creator from the works of His Creation, ""An inordinate fondness for beetles"".Polyphaga is the largest suborder, containing more than 300,000 described species in more than 170 families, including rove beetles (Staphylinidae), scarab beetles (Scarabaeidae), blister beetles (Meloidae), stag beetles (Lucanidae) and true weevils (Curculionidae)."
1,"Rolling Stone magazine ranked them fourth on the ""100 Greatest Artists of All Time"" list and their estimated record sales is 200 million."
2,"In 2008, the band ranked 10th on the Billboard Hot 100 All-Time Top Artists chart."
3,"Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead."
4,"Scarab beetles such as the Rutelinae use pheromones derived from fatty acid synthesis, while other scarabs such as the Melolonthinae use amino acids and terpenoids."
5,"He is the only player to score a century on debut in all three of his domestic first-class tournaments (the Ranji, Irani, and Duleep Trophies)."
6,"In 2005, Bachchan lent his voice to the Oscar-winning French documentary March of the Penguins, directed by Luc Jacquet.He also has done voice-over work for the following movies: Bhuvan Shome (1969) Bawarchi (1972) Balika Badhu (1975) Tere Mere Sapne (1996) Hello Brother (1999) Lagaan (2001) Parineeta (2005) Jodhaa Akbar (2008) Swami (2007) Zor Lagaa Ke...Haiya!"
7,"To help curb his mischievous and bullying tendencies, Ajit introduced the young Sachin to cricket in 1984."
8,"He has a younger brother, Ajitabh."
9,"Some species are serious agricultural pests, such as the Colorado potato beetle, while others such as Coccinellidae (ladybirds or ladybugs) eat aphids, scale insects, thrips, and other plant-sucking insects that damage crops."
