,0
0,"Tendulkar played 664 international cricket matches in total, scoring 34,357 runs.In 2019, Tendulkar was inducted into the ICC Cricket Hall of Fame."
1,The train carried a large number of Hindu pilgrims returning from Ayodhya after a religious ceremony at the site of the demolished Babri Masjid.
2,"He secured the Man of the Match award.In the One-Day International Commonwealth Bank Tri-Series involving India, Sri Lanka and Australia, Tendulkar became the only batsman to complete 16,000 runs in ODIs."
3,"The sternum is the most widely visible part of the abdomen, being a more or less sclerotized segment."
4,"The first rehearsal included guitarist Geoff Bradford and vocalist Brian Knight, both of whom decided not to join the band."
5,"Beetle fossils are abundant in the Cenozoic; by the Quaternary (up to 1.6 mya), fossil species are identical to living ones, while from the Late Miocene (5.7 mya) the fossils are still so close to modern forms that they are most likely the ancestors of living species."
6,"The Rolling Stones fifth UK single, a cover of Willie Dixons ""Little Red Rooster"" with ""Off the Hook"", credited to Nanker Phelge, as the B-side was released in November 1964 and became their second number 1 hit in the UK."
7,"Another double century was an innings of 233* against Tamil Nadu in the semi-finals of the 2000 Ranji Trophy, which he regards as one of the best innings of his career."
8,"Shortly before the war, Modi took part in a non-violent protest against the Indian government in New Delhi, for which he was arrested; this has been cited as a reason for Inamdar electing to mentor him."
9,Male diving beetles have suctorial cups on their forelegs that they use to grasp females.
