,0
0,"During the 1980s, the band infighting curtailed their output and they only released two more underperforming albums and did not tour for the rest of the decade."
1,"In Spain, important sites are near Montsec and Las Hoyas."
2,"The nervous system in beetles contains all the types found in insects, varying between different species, from three thoracic and seven or eight abdominal ganglia which can be distinguished to that in which all the thoracic and abdominal ganglia are fused to form a composite structure."
3,"Beetles are endopterygotes, which means that they undergo complete metamorphosis, with a series of conspicuous and relatively abrupt changes in body structure between hatching and becoming adult after a relatively immobile pupal stage."
4,"Hydrophilidae, Byrrhidae, Elateroidea)."
5,"This was a record partnership in any form of cricket until 2006, when it was broken by two under-13 batsmen in a match held at Hyderabad in India."
6,"The Times ran the famous editorial entitled ""Who breaks a butterfly upon a wheel?"""
7,"Keith Richards and Mick Jagger became childhood friends and classmates in 1950 in Dartford, Kent."
8,The song was written and given to the Stones when John Lennon and Paul McCartney visited them in the studio as the two Beatles liked giving the copyrights to songs away to their friends.
9,"Despite this, the Rolling Stones continue to be a huge attraction on the live circuit."
