,0
0,"The RSS assigned him to the BJP in 1985 and he held several positions within the party hierarchy until 2001, rising to the rank of general secretary."
1,In 1972 he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful.
2,"On 31 July, the appeals court overturned Richards conviction, and reduced Jaggers sentence to a conditional discharge."
3,"Many years later Modi would co-author a biography of Inamdar, published in 2001.In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class."
4,"Teji had some influence in Amitabh Bachchans choice of career because she always insisted that he should ""take the centre stage"".He is married to actress Jaya Bhaduri."
5,"However, India lost the series."
6,The Show also grabbed all the major Awards for its category.
7,Tendulkar made his Test debut against Pakistan in Karachi in November 1989 aged 16 years and 205 days.
8,"These activities have recently got him into trouble in the Indian courts for false claims after a previous incident of submission of legal papers by him, stating that he is a farmer.A 15-year press ban against Bachchan was imposed during his peak acting years by Stardust and some of the other film magazines."
9,"In December 2012, Tendulkar announced his retirement from ODIs."
