,0
0,Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests.
1,"A year later, on 11 December 1988, aged 15 years and 232 days, Tendulkar made his debut for Bombay against Gujarat at home and scored 100 not out in that match, making him the youngest Indian to score a century on debut in first-class cricket."
2,Chappell also believed that Tendulkars repeated failures were hurting the teams chances.
3,"The Guardian summed up, ""Bachchan seizes upon his cranky character part, making Bashkor as garrulously funny in his theories on caste and marriage as his system is backed-up."""
4,His message found support among young Indians and among middle-class citizens.
5,"The bands original rhythm section did not include bassist Bill Wyman, who joined in December 1962, or drummer Charlie Watts, who joined in January 1963."
6,"In the first meeting, the young Sachin did not play his best."
7,After the elections Vajpayee called the violence in Gujarat a reason for the BJPs electoral defeat and said it had been a mistake to leave Modi in office after the riots.Questions about Modis relationship with Muslims were also raised by many Western nations during his tenure as chief minister.
8,"While most beetles use their legs for walking, legs have been variously adapted for other uses."
9,"The Government of India honoured him with the Padma Shri in 1984, the Padma Bhushan in 2001 and the Padma Vibhushan in 2015 for his contributions to the arts."
