,0
0,"In the famous 1990  Ranji Trophy final, in which Haryana defeated Bombay by two runs after leading in the first innings, Tendulkars 96 from 75 deliveries was a key to giving Bombay a chance of victory as it attempted to chase 355 from only 70 overs on the final day.His first double century (204*) was for Mumbai while playing against the visiting Australian team at the Brabourne Stadium in 1998."
1,Their material included the Chicago blues as well as Chuck Berry and Bo Diddley songs.
2,"In January and February that year the band played 34 shows for around 100,000 people in Australia and New Zealand."
3,"The SIT questioned Modi in March 2010; in May, it presented to the court a report finding no evidence against him."
4,"He had previously been named ""Player of the Tournament"" at the 2003 edition of the tournament, held in South Africa."
5,Let It Bleed (1969) marked the first of five consecutive number 1 studio and live albums in the UK.
6,A fold (jugum) of the membrane at the base of each wing is characteristic.
7,"This was his third century at the SCG and his 38th Test century overall, earning him an average of 326 at the ground at the time of completing the innings."
8,He continued by scoring 99 and 93 in the first two matches of the Future Cup against South Africa.
9,"The mouthparts are rarely suctorial, though they are sometimes reduced; the maxillae always bear palps."
