,0
0,"His form dipped a bit in the middle of the tournament, but Tendulkar came back strongly in Indias must-win game against Sri Lanka at the Bellerive Oval in Hobart, scoring 63 off 54 balls."
1,"Tendulkar, however, won the player of the series award as well as player of the match in one of the games."
2,"Sachin was picked for a young Indian team to tour England twice, under the Star Cricket Club banner in 1988 and 1989."
3,"He had previously been named ""Player of the Tournament"" at the 2003 edition of the tournament, held in South Africa."
4,"Tendulkar ended the three-Test series without a half-century to his credit, and the need for a shoulder operation raised more questions about his longevity.Tendulkars comeback came in the DLF cup in Malaysia and he was the only Indian batsman to shine."
5,Tendulkar said that he was disappointed and that the declaration had taken him by surprise.
6,"He is colloquially known as Little Master or Master Blaster, In 2001, Sachin Tendulkar became the first batsman to complete 10,000 ODI runs in his 259 innings."
7,Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.
8,"After the match, which India won, Dravid said that the matter had been discussed internally and put to rest.A tennis elbow injury then took its toll on Tendulkar, leaving him out of the side for most of the year, coming back only for the last two Tests when Australia toured India in 2004."
9,He was the only Indian batsman to perform well in the semi-final against Sri Lanka.
