,0
0,"Some beetles, such as typical members of the families Meloidae and Rhipiphoridae, go further, undergoing hypermetamorphosis in which the first instar takes the form of a triungulin."
1,"Described as engineering a political realignment towards right-wing politics, Modi remains a figure of controversy domestically and internationally over his Hindu nationalist beliefs and his role during the 2002 Gujarat riots, cited as evidence of an exclusionary social agenda."
2,"Other soft wing beetles include the net-winged beetle Calopteron discrepans, which has brittle wings that rupture easily in order to release chemicals for defence.Beetles flight wings are crossed with veins and are folded after landing, often along these veins, and stored below the elytra."
3,He scored his first ODI century on 9 September 1994 against Australia in Sri Lanka at Colombo.
4,"Hughes commented to Allan Border at the time that ""This little pricks going to get more runs than you, AB."""
5,"Up until then it had been as though London existed in a beautiful space where you could do anything you wanted."""
6,He was arrested and charged with possession of cannabis.
7,"However, by 1997 the team was performing poorly."
8,"The pterothorax is the fused meso- and metathorax, which are commonly separated in other insect species, although flexibly articulate from the prothorax."
9,Tendulkar made his Test debut against Pakistan in Karachi in November 1989 aged 16 years and 205 days.
