,0
0,"Well known Indian critic Rajeev Masand wrote on his website, ""Bachchan is pretty terrific as Bhashkor, who reminds you of that oddball uncle that you nevertheless have a soft spot for."
1,"However, sociologists have pointed out that the growth rate under the 1992  INC government was 12.9 percent."
2,"Bachchans father died in 2003, and his mother in 2007.Bachchan is an alumnus of Sherwood College, Nainital."
3,"The match resumed after Tendulkar and the president of the ICC appealed to the crowd; however, further rioting meant that the match was finished in front of a crowd of 200 people."
4,He scored his first ODI century on 9 September 1994 against Australia in Sri Lanka at Colombo.
5,The fifth season started on 15 August 2011 and ended on 17 November 2011.
6,"Prior to the election Modis image in the media had centered around his role in the 2002 Gujarat riots, but during the campaign the BJP was able to shift this to a focus on Modis neoliberal ideology and the Gujarat model of development, although Hindutva remained a significant part of its campaign."
7,"The social policies of the government generally did not benefit Muslims, Dalits, and Adivasis, and generally increased social inequalities."
8,"Many beetles are aposematic, with bright colours and patterns warning of their toxicity, while others are harmless Batesian mimics of such insects."
9,"However, India lost the series."
