,0
0,By necessity he joined with booking agent Eric Easton to secure record financing and assistance booking venues.
1,"A year later, on 11 December 1988, aged 15 years and 232 days, Tendulkar made his debut for Bombay against Gujarat at home and scored 100 not out in that match, making him the youngest Indian to score a century on debut in first-class cricket."
2,"He has been a narrator, a playback singer, and presenter for numerous programmes."
3,Sangh organisations were no longer consulted or informed in advance about Modis administrative decisions.
4,Several species of the genus Cicindela (Carabidae) have hearing organs on the dorsal surfaces of their first abdominal segments beneath the wings; two tribes in the Dynastinae (within the Scarabaeidae) have hearing organs just beneath their pronotal shields or neck membranes.
5,"On 1 January 1964, the Stones ""I Wanna Be Your Man"" was the first song ever performed on the BBCs Top of the Pops."
6,He is the youngest recipient to date and the first ever sportsperson to receive the award.
7,"He moved in with his aunt and uncle, who lived near Shivaji Park, during this period, due to his hectic schedule."
8,"The beetles exoskeleton is made up of numerous plates, called sclerites, separated by thin sutures."
9,"He has a younger brother, Ajitabh."
