,0
0,The Supreme Court gave the matter to the magistrates court.
1,"At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!"""
2,"Modi, on the selection committee for the 1998 Assembly elections in Gujarat, favoured supporters of BJP leader Keshubhai Patel over those supporting Vaghela to end factional division in the party."
3,"The bands primary songwriters, Jagger Richards, assumed leadership after Andrew Loog Oldham became the groups manager."
4,"In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office."
5,"In all, he scored 215 runs at an average of 35.83 in the Test series, and was dismissed without scoring a run in the only One Day International (ODI) he played."
6,"A second season followed in 2005 but its run was cut short by Star Plus when Bachchan fell ill in 2006.In 2009, Bachchan hosted the third season of the reality show Bigg Boss.In 2010, Bachchan hosted the fourth season of KBC."
7,The state government stated later that 790 Muslims and 254 Hindus were killed.
8,"He won the Maninagar constituency, receiving 113,589 of 154,981 votes and defeating INC candidate Yatin Oza by 75,333 votes."
9,"Despite opposition from the election commissioner, who said that a number of voters were still displaced, Modi succeeded in advancing the election to December 2002."
