,0
0,"The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match."
1,There are typically four to six Malpighian tubules.
2,The Curculionidae have elbowed or geniculate antennae.
3,"It featured John Lennon, Yoko Ono, the Dirty Mac, the Who, Jethro Tull, Marianne Faithfull, and Taj Mahal."
4,"Air enters the body through spiracles, and circulates within the haemocoel in a system of tracheae and tracheoles, through whose walls the gases can diffuse.Diving beetles, such as the Dytiscidae, carry a bubble of air with them when they dive."
5,"Bill Wyman wrote and sang a track on the album: ""In Another Land"", also released as a single, the first on which Jagger did not sing lead."
6,"However, India lost the series."
7,"Beetles are endopterygotes, which means that they undergo complete metamorphosis, with a series of conspicuous and relatively abrupt changes in body structure between hatching and becoming adult after a relatively immobile pupal stage."
8,"As Modi rose to prominence in India, the UK and the EU lifted their bans in October 2012 and March 2013, respectively, and after his election as prime minister he was invited to Washington.During the run-up to the 2007 assembly elections and the 2009 general election, the BJP intensified its rhetoric on terrorism."
9,"To the Middle Eastern-influenced ""Paint It, Black"" he added sitar; to the ballad ""Lady Jane"" he added dulcimer and to ""Under My Thumb"" he added marimbas."
