,0
0,"He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth  b96.6 trillion were signed.The governments led by Patel and Modi supported NGOs and communities in the creation of groundwater-conservation projects."
1,"His policies as chief minister, credited with encouraging economic growth, have received praise."
2,"Nearly 45 percent of children under five were underweight and 23 percent were undernourished, putting the state in the ""alarming"" category on the India State Hunger Index."
3,"Salim Khan wrote the story, screenplay and script of Zanjeer (1973), and conceived the ""angry young man"" persona of the lead role."
4,"In June 1975, Prime Minister Indira Gandhi declared a state of emergency in India which lasted until 1977."
5,"In defence, Bachchan claimed to have banned the press from entering his sets until late 1989.Bachchan has been accused of using the slogan ""blood for blood"" in the context of the 1984 anti-Sikh riots."
6,"Following his partys victory in the 2019 general election, his administration revoked the special status of Jammu and Kashmir."
7,This film released in May 2018 and reunited him with Kapoor onscreen after a gap of twenty-seven years.
8,The film starred Bachchan as an ageing teacher of a deaf-blind girl and followed their relationship.
9,"(""This film will flop"")."
