,0
0,"Beyond the Indian subcontinent, he also has a large overseas following in markets including Africa (such as South Africa), the Middle East (especially Egypt), United Kingdom, Russia and parts of the United States.Bachchan has won numerous accolades in his career, including four National Film Awards as Best Actor, Dadasaheb Phalke Award as lifetime achievement award and many awards at international film festivals and award ceremonies."
1,(2009) Ra.One (2011) Kahaani (2012) Krrish 3 (2013) Mahabharat (2013) Kochadaiiyaan (Hindi Version) (2014) The Ghazi Attack (2017) Bachchan has been involved with many social causes.
2,"In North America there are only a few sites with fossil records of insects from the Jurassic, namely the shell limestone deposits in the Hartford basin, the Deerfield basin and the Newark basin."
3,"When Tendulkar took over as captain in 1996, it was with huge hopes and expectations."
4,"Beetles are by far the largest order of insects: the roughly 400,000 species make up about 40% of all insect species so far described, and about 25% of all animals."
5,"Notably, despite the lack of hits, it was during this era that Bachchan won his first National Film Award for Best Actor for his performance as a Mafia don in the 1990 cult film Agneepath."
6,The cladogram is based on McKenna (2015).
7,"In the Elateridae, the larvae are liquid feeders that extraorally digest their food by secreting enzymes."
8,"They were Rameshs children by his first wife, who died after the birth of her third child.Tendulkar spent his formative years in the Sahitya Sahawas Cooperative Housing Society in Bandra (East)."
9,Jagger and Richards decided to write songs together.
