,0
0,"During the 2012 campaign, Modi attempted to identify himself with the state of Gujarat, a strategy similar to that used by Indira Gandhi during the Emergency, and projected himself as protecting Gujarat against persecution by the rest of India.While campaigning for the 2012 assembly elections, Modi made extensive use of holograms and other technologies allowing him to reach a large number of people, something he would repeat in the 2014 general election."
1,"In the later years of Modis government, Gujarats economic growth was frequently used as an argument to counter allegations of communalism."
2,"At one point Meenal hangs by Bachchans elbow, words entirely unnecessary."
3,"Because the bands songwriting developed slowly, songs on their first album The Rolling Stones (1964; issued in the US as Englands Newest Hit Makers), were primarily covers, with only one Jagger/Richards original ""Tell Me (Youre Coming Back)"" and two numbers credited to Nanker Phelge, the pen name used for songs written by the entire group."
4,This further segmentation is usually best seen on the abdomen.
5,"Gomelsky, who had no written agreement with the band, was not consulted."
6,"Richards reported that in a June meeting with Jagger, Watts and himself at Jones house, Jones admitted that he was unable to ""go on the road again"", and left the band saying, ""Ive left, and if I want to I can come back."""
7,"They split the Adephaga into 2 clades, Hydradephaga and Geadephaga, broke up the Cucujoidea into 3 clades, and placed the Lymexyloidea within the Tenebrionoidea."
8,"Chappell reportedly felt that Tendulkar would be more useful down the order, while the latter felt that he would be better off opening the innings, the role he had played for most of his career."
9,He also entered politics for a time in the 1980s.
