,0
0,"In all, he scored 215 runs at an average of 35.83 in the Test series, and was dismissed without scoring a run in the only One Day International (ODI) he played."
1,"Many years later Modi would co-author a biography of Inamdar, published in 2001.In 1978 Modi received a Bachelor of Arts degree in political science from School of Open Learning at University of Delhi, graduating with a third class."
2,"Modi, on the selection committee for the 1998 Assembly elections in Gujarat, favoured supporters of BJP leader Keshubhai Patel over those supporting Vaghela to end factional division in the party."
3,"Besides school cricket, he also played club cricket, initially representing John Bright Cricket Club in Bombays premier club cricket tournament, the Kanga League, and later went on to play for the Cricket Club of India."
4,Dostana proved to be the top-grossing film of 1980.
5,"Despite these complications, the Rolling Stones toured Europe in March and April 1967."
6,"Another double century was an innings of 233* against Tamil Nadu in the semi-finals of the 2000 Ranji Trophy, which he regards as one of the best innings of his career."
7,"The RSS assigned him to the BJP in 1985 and he held several positions within the party hierarchy until 2001, rising to the rank of general secretary."
8,Sachin consistently featured in the school team in the Matunga Gujarati Seva Mandal (MGSM) Shield.
9,"Around 100,000 people came to support India during the initial four days of the tournament, breaking a 63-year-old record for aggregate Test attendance record."
