,0
0,"Like all insects, beetles bodies are divided into three sections: the head, the thorax, and the abdomen."
1,"The number of species in each group (mainly superfamilies) is shown in parentheses, and boldface if over 10,000."
2,"The bands name was changed shortly after their first gig to ""The Rolling Stones""."
3,"Although his surname was Shrivastava, Amitabhs father had adopted the pen name Bachchan (""child-like"" in colloquial Hindi), under which he published all of his works."
4,"Other releases during that year included Nastik, Andha Kanoon (in which he had an extended guest appearance) which were hits and Pukar was an average grosser During a stint in politics from 1984 to 1987, his completed films Mard (1985) and Aakhree Raasta (1986) were released and were major hits.Coolie injury On 26 July 1982, while filming Coolie, in the University Campus in Bangalore, Bachchan suffered a near-fatal intestinal injury during the filming of a fight scene with co-actor Puneet Issar."
5,"Set 310 runs to win, Australia were cruising at 203 for 3 in the 31st over when Tendulkar turned the match for India, taking the wickets of Michael Bevan, Steve Waugh, Darren Lehmann, Tom Moody and Damien Martyn for 32 runs in 10 overs."
6,The Sardar Sarovar project only irrigated 4 % of the area intended.
7,"In the ODI Series against Australia in October 2007 Tendulkar was the leading Indian run scorer with 278 runs.Tendulkar was dismissed seven times in 2007 between 90 and 100, including three times at 99, leading some to suggestions that he struggles to cope with nervousness in this phase of his innings."
8,"Like many other insect orders, beetles have claws, usually one pair, on the end of the last tarsal segment of each leg."
9,"He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other."
