,0
0,A fold (jugum) of the membrane at the base of each wing is characteristic.
1,"Modi curtailed the influence of Sangh Parivar organisations such as the Bharatiya Kisan Sangh (BKS) and the Vishva Hindu Parishad (VHP), entrenched in the state after the decline of Ahmedabads textile industry, and dropped Gordhan Zadafia (an ally of former Sangh co-worker and VHP state chief Praveen Togadia) from his cabinet."
2,"So it was, Right well go and strip this thing down."
3,"Muslim victims of the riots were subject to further discrimination when the state government announced that compensation for Muslim victims would be half of that offered to Hindus, although this decision was later reversed after the issue was taken to court."
4,"In these insects, the testes are tubular and the first abdominal sternum (a plate of the exoskeleton) is divided by the hind coxae (the basal joints of the beetles legs).Archostemata contains four families of mainly wood-eating beetles, including reticulated beetles (Cupedidae) and the telephone-pole beetle."
5,"Chappell subsequently resigned as coach but said that this affair had no bearing on his decision and that he and Tendulkar were on good terms.At the World Cup in the West Indies, Tendulkar and the Indian cricket team led by Rahul Dravid had a dismal campaign."
6,"Beetle antennae are primarily organs of sensory perception and can detect motion, odour and chemical substances, but may also be used to physically feel a beetles environment."
7,"Despite these complications, the Rolling Stones toured Europe in March and April 1967."
8,"Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season."
9,"During the riots, Modi said that ""What is happening is a chain of action and reaction."""
